ChannelNumber,ElectrodeName,Hemisphere,PlannedLocation,X_coordinate,Y_coordinate,Z_coordinate,MatterType,DKT+WhiteMatter_Atlas,Destrieux_Atlas
62,LC10,Left,Cingulate,151,76,180,OOB,Unknown,Unknown
63,LOFC1,Left,OrbitoFrontalCortex,141,112,162,W,wm-lh-medialorbitofrontal,Left-Cerebral-White-Matter
64,LOFC2,Left,OrbitoFrontalCortex,146,111,161,W,wm-lh-lateralorbitofrontal,Left-Cerebral-White-Matter
65,LOFC3,Left,OrbitoFrontalCortex,151,111,161,G,ctx-lh-lateralorbitofrontal,ctx_lh_S_orbital-H_Shaped
66,LOFC4,Left,OrbitoFrontalCortex,156,110,161,G,ctx-lh-lateralorbitofrontal,ctx_lh_S_orbital-H_Shaped
67,LOFC5,Left,OrbitoFrontalCortex,160,110,161,G,ctx-lh-lateralorbitofrontal,ctx_lh_S_orbital-H_Shaped
68,LOFC6,Left,OrbitoFrontalCortex,166,109,161,G,ctx-lh-lateralorbitofrontal,ctx_lh_S_orbital-H_Shaped
69,LOFC7,Left,OrbitoFrontalCortex,171,108,161,G,ctx-lh-parsorbitalis,ctx_lh_S_orbital-H_Shaped
70,LOFC8,Left,OrbitoFrontalCortex,176,108,160,W,wm-lh-parsorbitalis,Left-Cerebral-White-Matter
71,LOFC9,Left,OrbitoFrontalCortex,181,107,160,G,ctx-lh-parsorbitalis,ctx_lh_G_front_inf-Orbital
72,LOFC10,Left,OrbitoFrontalCortex,186,106,160,OOB,Unknown,Unknown
73,LF1,Left,Frontal,161,91,158,W,wm-lh-rostralmiddlefrontal,Left-Cerebral-White-Matter
74,LF2,Left,Frontal,164,87,159,W,wm-lh-rostralmiddlefrontal,Left-Cerebral-White-Matter
75,LF3,Left,Frontal,167,83,159,W,wm-lh-rostralmiddlefrontal,Left-Cerebral-White-Matter
76,LF4,Left,Frontal,170,79,159,G,ctx-lh-rostralmiddlefrontal,ctx_lh_G_front_middle
77,LF5,Left,Frontal,173,74,159,OOB,Unknown,Unknown
78,LF6,Left,Frontal,176,71,159,OOB,Unknown,Unknown
79,RHH1,Right,HippocampusHead,108,138,128,G,Right-Hippocampus,Right-Hippocampus
80,RHH2,Right,HippocampusHead,104,138,129,G,Right-Hippocampus,Right-Hippocampus
81,RHH3,Right,HippocampusHead,99,138,130,W,wm-rh-parahippocampal,Right-Cerebral-White-Matter
82,RHH4,Right,HippocampusHead,94,137,130,W,wm-rh-inferiortemporal,Right-Cerebral-White-Matter
83,RHH5,Right,HippocampusHead,89,137,132,W,wm-rh-inferiortemporal,Right-Cerebral-White-Matter
84,RHH6,Right,HippocampusHead,84,136,132,W,wm-rh-inferiortemporal,Right-Cerebral-White-Matter
85,RHH7,Right,HippocampusHead,79,136,133,G,ctx-rh-middletemporal,ctx_rh_S_temporal_inf
86,RHH8,Right,HippocampusHead,74,136,134,G,ctx-rh-middletemporal,ctx_rh_G_temporal_middle
87,RHH9,Right,HippocampusHead,69,136,135,OOB,Unknown,Unknown
88,RHH10,Right,HippocampusHead,64,136,136,OOB,Unknown,Unknown
89,RFC1,Right,FrontalCingulate,123,111,157,W,wm-rh-medialorbitofrontal,Right-Cerebral-White-Matter
90,RFC2,Right,FrontalCingulate,122,107,159,W,wm-rh-medialorbitofrontal,Right-Cerebral-White-Matter
91,RFC3,Right,FrontalCingulate,121,104,161,W,wm-rh-medialorbitofrontal,Right-Cerebral-White-Matter
92,RFC4,Right,FrontalCingulate,120,100,164,W,wm-rh-medialorbitofrontal,Right-Cerebral-White-Matter
93,RFC5,Right,FrontalCingulate,118,96,166,W,wm-rh-medialorbitofrontal,Right-Cerebral-White-Matter
94,RFC6,Right,FrontalCingulate,117,92,169,W,wm-rh-medialorbitofrontal,Right-Cerebral-White-Matter
95,RFC7,Right,FrontalCingulate,116,87,172,W,wm-rh-rostralmiddlefrontal,Right-Cerebral-White-Matter
96,RFC8,Right,FrontalCingulate,114,83,174,G,ctx-rh-rostralmiddlefrontal,ctx_rh_G_and_S_transv_frontopol
97,RFC9,Right,FrontalCingulate,113,78,176,G,ctx-rh-rostralmiddlefrontal,ctx_rh_G_and_S_transv_frontopol
98,RFC10,Right,FrontalCingulate,111,74,178,OOB,Unknown,Unknown
99,RF1,Right,Frontal,106,82,158,W,wm-rh-rostralmiddlefrontal,Right-Cerebral-White-Matter
100,RF2,Right,Frontal,104,77,158,W,wm-rh-rostralmiddlefrontal,Right-Cerebral-White-Matter
101,RF3,Right,Frontal,102,72,158,OOB,Unknown,Unknown
102,RF4,Right,Frontal,100,67,157,OOB,Unknown,Unknown
103,RF5,Right,Frontal,98,63,157,OOB,Unknown,Unknown
104,RF6,Right,Frontal,96,58,157,OOB,Unknown,Unknown
