ChannelNumber,ElectrodeName,Hemisphere,PlannedLocation,X_coordinate,Y_coordinate,Z_coordinate,MatterType,DKT+WhiteMatter_Atlas,Destrieux_Atlas
35,LOFCH1,Left,OrbitoFrontalCortexHorizontal,138,140,178,W,wm-lh-lateralorbitofrontal,Left-Cerebral-White-Matter
36,LOFCH2,Left,OrbitoFrontalCortexHorizontal,143,140,178,W,wm-lh-lateralorbitofrontal,Left-Cerebral-White-Matter
37,LOFCH3,Left,OrbitoFrontalCortexHorizontal,148,138,178,G,ctx-lh-lateralorbitofrontal,ctx_lh_S_orbital-H_Shaped
38,LOFCH4,Left,OrbitoFrontalCortexHorizontal,153,137,178,G,ctx-lh-lateralorbitofrontal,ctx_lh_S_orbital-H_Shaped
39,LOFCH5,Left,OrbitoFrontalCortexHorizontal,158,136,178,G,ctx-lh-parsorbitalis,ctx_lh_S_orbital-H_Shaped
40,LOFCH6,Left,OrbitoFrontalCortexHorizontal,163,135,177,W,wm-lh-parstriangularis,Left-Cerebral-White-Matter
41,LOFCH7,Left,OrbitoFrontalCortexHorizontal,168,134,177,A,ctx-lh-parstriangularis,ctx_lh_Lat_Fis-ant-Horizont
42,LOFCH8,Left,OrbitoFrontalCortexHorizontal,173,132,178,G,ctx-lh-parstriangularis,ctx_lh_G_front_inf-Triangul
43,LACF1,Left,AnteriorCingulateFrontal,141,120,181,W,wm-lh-rostralanteriorcingulate,Left-Cerebral-White-Matter
44,LACF2,Left,AnteriorCingulateFrontal,142,115,181,W,wm-lh-superiorfrontal,Left-Cerebral-White-Matter
45,LACF3,Left,AnteriorCingulateFrontal,143,110,182,W,wm-lh-superiorfrontal,Left-Cerebral-White-Matter
46,LACF4,Left,AnteriorCingulateFrontal,144,106,182,W,wm-lh-superiorfrontal,Left-Cerebral-White-Matter
47,LACF5,Left,AnteriorCingulateFrontal,144,100,182,W,wm-lh-superiorfrontal,Left-Cerebral-White-Matter
48,LACF6,Left,AnteriorCingulateFrontal,146,96,182,G,ctx-lh-superiorfrontal,ctx_lh_G_front_sup
49,LACF7,Left,AnteriorCingulateFrontal,146,91,182,G,ctx-lh-superiorfrontal,ctx_lh_G_front_sup
50,LACF8,Left,AnteriorCingulateFrontal,148,86,182,OOB,Unknown,Unknown
51,LACF9,Left,AnteriorCingulateFrontal,148,81,183,OOB,Unknown,Unknown
52,LACF10,Left,AnteriorCingulateFrontal,150,76,183,OOB,Unknown,Unknown
53,LLF1,Left,LateralFrontal,154,124,186,W,wm-lh-rostralmiddlefrontal,Left-Cerebral-White-Matter
54,LLF2,Left,LateralFrontal,158,122,186,W,wm-lh-rostralmiddlefrontal,Left-Cerebral-White-Matter
55,LLF3,Left,LateralFrontal,163,121,186,W,wm-lh-rostralmiddlefrontal,Left-Cerebral-White-Matter
56,LLF4,Left,LateralFrontal,168,119,186,G,ctx-lh-rostralmiddlefrontal,ctx_lh_G_front_middle
57,LLF5,Left,LateralFrontal,174,117,186,OOB,Unknown,Unknown
58,LLF6,Left,LateralFrontal,179,116,186,OOB,Unknown,Unknown
59,RAMY1,Right,Amygdala,112,145,133,G,Right-Hippocampus,Right-Hippocampus
60,RAMY2,Right,Amygdala,106,145,134,G,Right-Amygdala,Right-Amygdala
61,RAMY3,Right,Amygdala,102,145,134,G,Right-Amygdala,Right-Amygdala
62,RAMY4,Right,Amygdala,97,146,134,W,wm-rh-fusiform,Right-Cerebral-White-Matter
63,RAMY5,Right,Amygdala,92,147,134,W,wm-rh-fusiform,Right-Cerebral-White-Matter
64,RAMY6,Right,Amygdala,87,147,135,W,wm-rh-superiortemporal,Right-Cerebral-White-Matter
65,RAMY7,Right,Amygdala,82,148,135,W,wm-rh-middletemporal,Right-Cerebral-White-Matter
66,RAMY8,Right,Amygdala,77,148,135,W,wm-rh-middletemporal,Right-Cerebral-White-Matter
67,RAMY9,Right,Amygdala,70,150,136,OOB,Unknown,Unknown
68,RAMY10,Right,Amygdala,68,150,136,OOB,Unknown,Unknown
69,RHH1,Right,HippocampusHead,104,144,124,G,Right-Hippocampus,Right-Hippocampus
70,RHH2,Right,HippocampusHead,100,144,124,G,Right-Hippocampus,Right-Hippocampus
71,RHH3,Right,HippocampusHead,94,144,124,G,ctx-rh-fusiform,ctx_rh_S_oc-temp_med_and_Lingual
72,RHH4,Right,HippocampusHead,90,144,126,W,wm-rh-fusiform,Right-Cerebral-White-Matter
73,RHH5,Right,HippocampusHead,84,144,126,W,wm-rh-middletemporal,Right-Cerebral-White-Matter
74,RHH6,Right,HippocampusHead,80,144,126,W,wm-rh-middletemporal,Right-Cerebral-White-Matter
75,RHH7,Right,HippocampusHead,74,144,127,G,ctx-rh-middletemporal,ctx_rh_G_temporal_middle
76,RHH8,Right,HippocampusHead,70,145,127,G,ctx-rh-middletemporal,ctx_rh_G_temporal_middle
77,RHH9,Right,HippocampusHead,65,145,128,OOB,Unknown,Unknown
78,RHH10,Right,HippocampusHead,59,145,128,OOB,Unknown,Unknown
79,RHT1,Right,HippocampusTail,103,142,113,G,Right-Hippocampus,Right-Hippocampus
80,RHT2,Right,HippocampusTail,98,141,114,W,wm-rh-parahippocampal,Right-Cerebral-White-Matter
81,RHT3,Right,HippocampusTail,93,141,115,G,ctx-rh-parahippocampal,ctx_rh_S_oc-temp_med_and_Lingual
82,RHT4,Right,HippocampusTail,88,140,116,W,wm-rh-superiortemporal,Right-Cerebral-White-Matter
83,RHT5,Right,HippocampusTail,84,140,116,W,wm-rh-middletemporal,Right-Cerebral-White-Matter
84,RHT6,Right,HippocampusTail,79,140,118,W,wm-rh-middletemporal,Right-Cerebral-White-Matter
85,RHT7,Right,HippocampusTail,74,139,118,G,ctx-rh-middletemporal,ctx_rh_G_temporal_middle
86,RHT8,Right,HippocampusTail,69,139,119,G,ctx-rh-middletemporal,ctx_rh_G_temporal_middle
87,RTP1,Right,TemporalPole,102,169,151,G,Unknown,Unknown
88,RTP2,Right,TemporalPole,98,167,151,G,Unknown,Unknown
89,RTP3,Right,TemporalPole,94,164,151,G,ctx-rh-inferiortemporal,ctx_rh_Pole_temporal
90,RTP4,Right,TemporalPole,89,162,151,OOB,Unknown,Unknown
91,RTP5,Right,TemporalPole,85,159,150,G,ctx-rh-middletemporal,ctx_rh_Pole_temporal
92,RTP6,Right,TemporalPole,80,157,150,G,ctx-rh-middletemporal,ctx_rh_G_temporal_middle
93,ROFCH1,Right,OrbitoFrontalCortexHorizontal,114,140,176,W,wm-rh-lateralorbitofrontal,Right-Cerebral-White-Matter
94,ROFCH2,Right,OrbitoFrontalCortexHorizontal,108,138,176,G,ctx-rh-lateralorbitofrontal,ctx_rh_S_orbital-H_Shaped
95,ROFCH3,Right,OrbitoFrontalCortexHorizontal,105,136,175,G,ctx-rh-lateralorbitofrontal,ctx_rh_S_orbital-H_Shaped
96,ROFCH4,Right,OrbitoFrontalCortexHorizontal,100,134,175,G,ctx-rh-lateralorbitofrontal,ctx_rh_S_orbital-H_Shaped
97,ROFCH5,Right,OrbitoFrontalCortexHorizontal,95,132,175,OOB,Unknown,Unknown
98,ROFCH6,Right,OrbitoFrontalCortexHorizontal,91,129,174,A,ctx-rh-parsorbitalis,ctx_rh_G_orbital
99,ROFCH7,Right,OrbitoFrontalCortexHorizontal,85,127,174,G,ctx-rh-parsorbitalis,ctx_rh_G_orbital
100,ROFCH8,Right,OrbitoFrontalCortexHorizontal,80,125,174,G,ctx-rh-parstriangularis,ctx_rh_G_front_inf-Orbital
101,RACF1,Right,AnteriorCingulateFrontal,111,122,182,W,wm-rh-medialorbitofrontal,Right-Cerebral-White-Matter
102,RACF2,Right,AnteriorCingulateFrontal,111,117,182,W,wm-rh-superiorfrontal,Right-Cerebral-White-Matter
103,RACF3,Right,AnteriorCingulateFrontal,112,112,182,W,wm-rh-superiorfrontal,Right-Cerebral-White-Matter
104,RACF4,Right,AnteriorCingulateFrontal,112,107,183,W,wm-rh-superiorfrontal,Right-Cerebral-White-Matter
105,RACF5,Right,AnteriorCingulateFrontal,112,102,183,W,wm-rh-superiorfrontal,Right-Cerebral-White-Matter
106,RACF6,Right,AnteriorCingulateFrontal,112,97,183,W,wm-rh-superiorfrontal,Right-Cerebral-White-Matter
107,RACF7,Right,AnteriorCingulateFrontal,112,92,183,W,wm-rh-superiorfrontal,Right-Cerebral-White-Matter
108,RACF8,Right,AnteriorCingulateFrontal,112,87,183,G,ctx-rh-superiorfrontal,ctx_rh_G_front_sup
109,RACF9,Right,AnteriorCingulateFrontal,112,82,184,OOB,Unknown,Unknown
110,RACF10,Right,AnteriorCingulateFrontal,112,75,184,OOB,Unknown,Unknown
111,RLF1,Right,LateralFrontal,106,123,184,W,Right-UnsegmentedWhiteMatter,Right-Cerebral-White-Matter
112,RLF2,Right,LateralFrontal,102,121,183,W,wm-rh-rostralmiddlefrontal,Right-Cerebral-White-Matter
113,RLF3,Right,LateralFrontal,97,118,183,W,wm-rh-rostralmiddlefrontal,Right-Cerebral-White-Matter
114,RLF4,Right,LateralFrontal,93,115,182,G,ctx-rh-rostralmiddlefrontal,ctx_rh_G_front_middle
115,RLF5,Right,LateralFrontal,89,112,182,G,ctx-rh-rostralmiddlefrontal,ctx_rh_G_front_middle
116,RLF6,Right,LateralFrontal,85,110,181,G,ctx-rh-rostralmiddlefrontal,ctx_rh_G_front_middle
