ChannelNumber,ElectrodeName,Hemisphere,PlannedLocation,X_coordinate,Y_coordinate,Z_coordinate,MatterType,DKT+WhiteMatter_Atlas,Destrieux_Atlas
1,LAMY1,Left,Amygdala,140,146,132,G,Left-Hippocampus,Left-Hippocampus
2,LAMY2,Left,Amygdala,145,148,133,G,Left-Hippocampus,Left-Hippocampus
3,LAMY3,Left,Amygdala,150,150,134,G,Left-Amygdala,Left-Amygdala
4,LAMY4,Left,Amygdala,154,152,134,W,wm-lh-fusiform,Left-Cerebral-White-Matter
5,LAMY5,Left,Amygdala,159,154,134,W,wm-lh-fusiform,Left-Cerebral-White-Matter
6,LAMY6,Left,Amygdala,164,155,135,W,wm-lh-middletemporal,Left-Cerebral-White-Matter
7,LAMY7,Left,Amygdala,168,157,136,W,wm-lh-middletemporal,Left-Cerebral-White-Matter
8,LAMY8,Left,Amygdala,173,159,136,G,ctx-lh-middletemporal,ctx_lh_G_temporal_middle
9,LAMY9,Left,Amygdala,179,161,137,OOB,Unknown,Unknown
10,LAMY10,Left,Amygdala,182,162,137,OOB,Unknown,Unknown
11,LHH1,Left,HippocampusHead,145,147,122,G,Left-Hippocampus,Left-Hippocampus
12,LHH2,Left,HippocampusHead,150,147,122,G,Left-Hippocampus,Left-Hippocampus
13,LHH3,Left,HippocampusHead,155,147,123,W,wm-lh-fusiform,Left-Cerebral-White-Matter
14,LHH4,Left,HippocampusHead,160,148,122,G,ctx-lh-fusiform,ctx_lh_S_collat_transv_ant
15,LHH5,Left,HippocampusHead,165,148,123,W,wm-lh-middletemporal,Left-Cerebral-White-Matter
16,LHH6,Left,HippocampusHead,170,149,124,W,wm-lh-middletemporal,Left-Cerebral-White-Matter
17,LHH7,Left,HippocampusHead,175,149,124,W,wm-lh-middletemporal,Left-Cerebral-White-Matter
18,LHH8,Left,HippocampusHead,180,150,124,W,wm-lh-middletemporal,Left-Cerebral-White-Matter
19,LHH9,Left,HippocampusHead,185,150,124,G,ctx-lh-middletemporal,ctx_lh_G_temporal_middle
20,LHH10,Left,HippocampusHead,190,151,124,OOB,Unknown,Unknown
21,LHT1,Left,HippocampusTail,148,145,112,W,wm-lh-parahippocampal,Left-Cerebral-White-Matter
22,LHT2,Left,HippocampusTail,152,145,112,G,Left-Hippocampus,Left-Hippocampus
23,LHT3,Left,HippocampusTail,158,145,112,G,ctx-lh-parahippocampal,ctx_lh_S_oc-temp_med_and_Lingual
24,LHT4,Left,HippocampusTail,163,145,112,W,wm-lh-fusiform,Left-Cerebral-White-Matter
25,LHT5,Left,HippocampusTail,168,146,112,W,wm-lh-inferiortemporal,Left-Cerebral-White-Matter
26,LHT6,Left,HippocampusTail,172,146,112,A,ctx-lh-inferiortemporal,ctx_lh_S_temporal_inf
27,LHT7,Left,HippocampusTail,178,146,112,W,wm-lh-middletemporal,Left-Cerebral-White-Matter
28,LHT8,Left,HippocampusTail,183,146,112,W,wm-lh-middletemporal,Left-Cerebral-White-Matter
29,LTP1,Left,TemporalPole,145,165,154,G,ctx-lh-temporalpole,ctx_lh_Pole_temporal
30,LTP2,Left,TemporalPole,149,163,154,G,ctx-lh-temporalpole,ctx_lh_Pole_temporal
31,LTP3,Left,TemporalPole,154,162,153,A,ctx-lh-temporalpole,ctx_lh_Pole_temporal
32,LTP4,Left,TemporalPole,159,160,153,G,ctx-lh-middletemporal,ctx_lh_Pole_temporal
33,LTP5,Left,TemporalPole,164,159,153,G,ctx-lh-middletemporal,ctx_lh_G_temp_sup-Lateral
34,LTP6,Left,TemporalPole,168,158,152,G,ctx-lh-superiortemporal,ctx_lh_G_temp_sup-Lateral
