ChannelNumber,ElectrodeName,Hemisphere,PlannedLocation,X_coordinate,Y_coordinate,Z_coordinate,MatterType,DKT+WhiteMatter_Atlas,Destrieux_Atlas
1,LA1,Left,Amygdala,146,147,144,G,Left-Amygdala,Left-Amygdala
2,LA2,Left,Amygdala,150,146,144,G,Left-Amygdala,Left-Amygdala
3,LA3,Left,Amygdala,156,146,145,G,Left-Amygdala,Left-Amygdala
4,LA4,Left,Amygdala,160,146,146,G,Left-Amygdala,Left-Amygdala
5,LA5,Left,Amygdala,166,147,146,W,wm-lh-insula,Left-Cerebral-White-Matter
6,LA6,Left,Amygdala,171,147,147,W,wm-lh-inferiortemporal,Left-Cerebral-White-Matter
7,LA7,Left,Amygdala,176,146,148,W,Left-UnsegmentedWhiteMatter,Left-Cerebral-White-Matter
8,LA8,Left,Amygdala,180,146,148,W,wm-lh-superiortemporal,Left-Cerebral-White-Matter
9,LA9,Left,Amygdala,186,146,149,W,wm-lh-middletemporal,Left-Cerebral-White-Matter
10,LA10,Left,Amygdala,190,145,150,G,ctx-lh-middletemporal,ctx_lh_G_temporal_middle
11,LHH1,Left,HippocampusHead,152,151,134,W,wm-lh-parahippocampal,Left-Cerebral-White-Matter
12,LHH2,Left,HippocampusHead,157,152,134,W,wm-lh-parahippocampal,Left-Cerebral-White-Matter
13,LHH3,Left,HippocampusHead,162,152,134,W,wm-lh-parahippocampal,Left-Cerebral-White-Matter
14,LHH4,Left,HippocampusHead,167,152,134,A,ctx-lh-parahippocampal,ctx_lh_S_oc-temp_med_and_Lingual
15,LHH5,Left,HippocampusHead,172,152,134,W,wm-lh-fusiform,Left-Cerebral-White-Matter
16,LHH6,Left,HippocampusHead,177,152,134,G,ctx-lh-inferiortemporal,ctx_lh_S_collat_transv_ant
17,LHH7,Left,HippocampusHead,182,152,134,W,wm-lh-inferiortemporal,Left-Cerebral-White-Matter
18,LHH8,Left,HippocampusHead,187,152,134,W,wm-lh-inferiortemporal,Left-Cerebral-White-Matter
19,LHH9,Left,HippocampusHead,192,152,134,W,wm-lh-inferiortemporal,Left-Cerebral-White-Matter
20,LHH10,Left,HippocampusHead,197,152,134,G,ctx-lh-middletemporal,ctx_lh_G_temporal_middle
21,LHT1,Left,HippocampusTail,152,153,117,G,ctx-lh-parahippocampal,ctx_lh_G_oc-temp_med-Parahip
22,LHT2,Left,HippocampusTail,158,153,117,G,Unknown,Unknown
23,LHT3,Left,HippocampusTail,163,153,117,G,ctx-lh-fusiform,ctx_lh_S_oc-temp_med_and_Lingual
24,LHT4,Left,HippocampusTail,168,154,117,W,wm-lh-fusiform,Left-Cerebral-White-Matter
25,LHT5,Left,HippocampusTail,173,154,117,G,ctx-lh-fusiform,ctx_lh_S_collat_transv_ant
26,LHT6,Left,HippocampusTail,178,153,117,W,wm-lh-inferiortemporal,Left-Cerebral-White-Matter
27,LHT7,Left,HippocampusTail,182,153,117,W,wm-lh-inferiortemporal,Left-Cerebral-White-Matter
28,LHT8,Left,HippocampusTail,188,154,116,G,ctx-lh-inferiortemporal,ctx_lh_G_temporal_inf
29,LHT9,Left,HippocampusTail,192,154,117,G,ctx-lh-inferiortemporal,ctx_lh_G_temporal_middle
30,LHT10,Left,HippocampusTail,198,154,117,A,ctx-lh-middletemporal,ctx_lh_G_temporal_middle
31,LOFC1,Left,OrbitofrontalCortex,140,129,185,W,wm-lh-medialorbitofrontal,Left-Cerebral-White-Matter
32,LOFC2,Left,OrbitofrontalCortex,144,128,184,W,wm-lh-lateralorbitofrontal,Left-Cerebral-White-Matter
33,LOFC3,Left,OrbitofrontalCortex,149,125,184,A,ctx-lh-lateralorbitofrontal,ctx_lh_S_orbital-H_Shaped
34,LOFC4,Left,OrbitofrontalCortex,154,124,184,W,wm-lh-lateralorbitofrontal,Left-Cerebral-White-Matter
35,LOFC5,Left,OrbitofrontalCortex,158,122,184,W,wm-lh-lateralorbitofrontal,Left-Cerebral-White-Matter
36,LOFC6,Left,OrbitofrontalCortex,163,120,183,OOB,Unknown,Unknown
37,LOFC7,Left,OrbitofrontalCortex,167,118,183,W,wm-lh-parsorbitalis,Left-Cerebral-White-Matter
38,LOFC8,Left,OrbitofrontalCortex,172,116,183,A,ctx-lh-parsorbitalis,ctx_lh_S_orbital_lateral
39,LOFC9,Left,OrbitofrontalCortex,177,115,182,W,wm-lh-parstriangularis,Left-Cerebral-White-Matter
40,LOFC10,Left,OrbitofrontalCortex,183,112,182,G,ctx-lh-parstriangularis,ctx_lh_G_front_inf-Orbital
41,LC1,Left,Cingulate,142,94,174,W,wm-lh-superiorfrontal,Left-Cerebral-White-Matter
42,LC2,Left,Cingulate,142,90,177,W,wm-lh-superiorfrontal,Left-Cerebral-White-Matter
43,LC3,Left,Cingulate,142,87,180,W,wm-lh-superiorfrontal,Left-Cerebral-White-Matter
44,LC4,Left,Cingulate,142,83,184,A,ctx-lh-superiorfrontal,ctx_lh_G_front_sup
45,LC5,Left,Cingulate,142,79,187,G,ctx-lh-superiorfrontal,ctx_lh_G_front_sup
46,LC6,Left,Cingulate,142,75,190,OOB,Unknown,Unknown
47,LI1,Left,Insula,166,136,128,G,ctx-lh-insula,ctx_lh_S_circular_insula_inf
48,LI2,Left,Insula,165,131,129,W,wm-lh-insula,Left-Cerebral-White-Matter
49,LI3,Left,Insula,164,127,130,W,wm-lh-insula,Left-Cerebral-White-Matter
50,LI4,Left,Insula,164,122,132,W,wm-lh-insula,Left-Cerebral-White-Matter
51,LI5,Left,Insula,163,117,134,W,wm-lh-insula,Left-Cerebral-White-Matter
52,LI6,Left,Insula,162,113,135,A,ctx-lh-insula,ctx_lh_S_circular_insula_sup
53,LI7,Left,Insula,162,108,137,W,wm-lh-insula,Left-Cerebral-White-Matter
54,LI8,Left,Insula,161,103,138,W,Left-UnsegmentedWhiteMatter,Left-Cerebral-White-Matter
55,LI9,Left,Insula,160,99,140,W,wm-lh-rostralmiddlefrontal,Left-Cerebral-White-Matter
56,LI10,Left,Insula,160,94,142,G,ctx-lh-rostralmiddlefrontal,ctx_lh_S_front_sup
57,LAF1,Left,AnteriorFrontal,147,102,186,W,wm-lh-superiorfrontal,Left-Cerebral-White-Matter
58,LAF2,Left,AnteriorFrontal,147,98,189,W,wm-lh-superiorfrontal,Left-Cerebral-White-Matter
59,LAF3,Left,AnteriorFrontal,147,95,192,W,wm-lh-superiorfrontal,Left-Cerebral-White-Matter
60,LAF4,Left,AnteriorFrontal,148,91,196,W,wm-lh-rostralmiddlefrontal,Left-Cerebral-White-Matter
61,LAF5,Left,AnteriorFrontal,148,87,199,OOB,Unknown,Unknown
62,LAF6,Left,AnteriorFrontal,148,84,202,OOB,Unknown,Unknown
63,LPF1,Left,PosteriorFrontal,142,91,168,W,wm-lh-superiorfrontal,Left-Cerebral-White-Matter
64,LPF2,Left,PosteriorFrontal,142,86,170,W,wm-lh-superiorfrontal,Left-Cerebral-White-Matter
65,LPF3,Left,PosteriorFrontal,142,81,173,W,wm-lh-superiorfrontal,Left-Cerebral-White-Matter
66,LPF4,Left,PosteriorFrontal,142,77,174,W,wm-lh-superiorfrontal,Left-Cerebral-White-Matter
67,LPF5,Left,PosteriorFrontal,142,72,177,W,wm-lh-superiorfrontal,Left-Cerebral-White-Matter
68,LPF6,Left,PosteriorFrontal,142,68,179,G,ctx-lh-superiorfrontal,ctx_lh_G_front_sup
69,RHT1,Right,HippocampusTail,98,159,111,W,wm-rh-parahippocampal,Right-Cerebral-White-Matter
70,RHT2,Right,HippocampusTail,93,160,110,W,wm-rh-entorhinal,Right-Cerebral-White-Matter
71,RHT3,Right,HippocampusTail,88,160,110,W,wm-rh-fusiform,Right-Cerebral-White-Matter
72,RHT4,Right,HippocampusTail,83,160,109,W,wm-rh-inferiortemporal,Right-Cerebral-White-Matter
73,RHT5,Right,HippocampusTail,78,161,108,W,wm-rh-middletemporal,Right-Cerebral-White-Matter
74,RHT6,Right,HippocampusTail,73,161,108,W,wm-rh-middletemporal,Right-Cerebral-White-Matter
75,RHT7,Right,HippocampusTail,68,162,107,G,ctx-rh-middletemporal,ctx_rh_G_temporal_middle
76,RHT8,Right,HippocampusTail,63,162,106,OOB,Unknown,Unknown
77,ROFC1,Right,OrbitofrontalCortex,116,127,182,W,wm-rh-medialorbitofrontal,Right-Cerebral-White-Matter
78,ROFC2,Right,OrbitofrontalCortex,110,126,181,W,wm-rh-lateralorbitofrontal,Right-Cerebral-White-Matter
79,ROFC3,Right,OrbitofrontalCortex,106,124,181,W,wm-rh-lateralorbitofrontal,Right-Cerebral-White-Matter
80,ROFC4,Right,OrbitofrontalCortex,101,123,180,G,ctx-rh-lateralorbitofrontal,ctx_rh_S_orbital-H_Shaped
81,ROFC5,Right,OrbitofrontalCortex,96,122,180,A,ctx-rh-parsorbitalis,ctx_rh_S_orbital-H_Shaped
82,ROFC6,Right,OrbitofrontalCortex,91,121,180,W,wm-rh-parsorbitalis,Right-Cerebral-White-Matter
83,ROFC7,Right,OrbitofrontalCortex,86,119,179,G,ctx-rh-parsorbitalis,ctx_rh_G_orbital
84,ROFC8,Right,OrbitofrontalCortex,81,118,179,A,ctx-rh-parsorbitalis,ctx_rh_S_orbital_lateral
85,RC1,Right,Cingulate,113,90,178,W,wm-rh-superiorfrontal,Right-Cerebral-White-Matter
86,RC2,Right,Cingulate,113,86,180,W,wm-rh-superiorfrontal,Right-Cerebral-White-Matter
87,RC3,Right,Cingulate,114,82,184,A,ctx-rh-superiorfrontal,ctx_rh_G_front_sup
88,RC4,Right,Cingulate,114,78,187,G,ctx-rh-superiorfrontal,ctx_rh_G_front_sup
89,RC5,Right,Cingulate,114,73,190,OOB,Unknown,Unknown
90,RC6,Right,Cingulate,114,70,192,OOB,Unknown,Unknown
91,RI1,Right,Insula,92,130,135,W,wm-rh-insula,Right-Cerebral-White-Matter
92,RI2,Right,Insula,92,125,136,G,ctx-rh-insula,ctx_rh_S_circular_insula_sup
93,RI3,Right,Insula,92,121,137,G,ctx-rh-insula,ctx_rh_S_circular_insula_sup
94,RI4,Right,Insula,92,116,138,W,wm-rh-insula,Right-Cerebral-White-Matter
95,RI5,Right,Insula,92,111,140,W,Right-UnsegmentedWhiteMatter,Right-Cerebral-White-Matter
96,RI6,Right,Insula,92,106,141,W,wm-rh-parsopercularis,Right-Cerebral-White-Matter
97,RI7,Right,Insula,92,101,142,W,Right-UnsegmentedWhiteMatter,Right-Cerebral-White-Matter
98,RI8,Right,Insula,92,96,143,W,wm-rh-rostralmiddlefrontal,Right-Cerebral-White-Matter
99,RI9,Right,Insula,92,92,144,W,wm-rh-rostralmiddlefrontal,Right-Cerebral-White-Matter
100,RI10,Right,Insula,92,87,146,W,wm-rh-rostralmiddlefrontal,Right-Cerebral-White-Matter
101,RIT1,Right,InferiorTemporal,86,156,135,OOB,Unknown,Unknown
102,RIT2,Right,InferiorTemporal,81,156,135,OOB,Unknown,Unknown
103,RIT3,Right,InferiorTemporal,76,155,135,OOB,Unknown,Unknown
104,RIT4,Right,InferiorTemporal,71,155,135,OOB,Unknown,Unknown
105,RIT5,Right,InferiorTemporal,66,154,135,OOB,Unknown,Unknown
106,RIT6,Right,InferiorTemporal,60,154,134,OOB,Unknown,Unknown
